source,edge_id,osm_way_id,direction,node_count,first_node_id,last_node_id,highway,access_status,access_reason,structure_status,oneway,oneway_bicycle,junction,bicycle,access,vehicle,surface,smoothness,tracktype,bridge,tunnel,covered,layer,selected_for_profile
live,osm-way-36939176-reverse,36939176,reverse,12,429550468,5914413310,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939177-forward,36939177,forward,23,429550479,429550468,tertiary,admissible,highway=tertiary cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-36939178-forward,36939178,forward,16,429550639,429550508,residential,admissible,highway=residential cyclable by default,normal,,,,,destination,,asphalt,,,,,,,False
live,osm-way-36939178-reverse,36939178,reverse,16,429550508,429550639,residential,admissible,highway=residential cyclable by default,normal,,,,,destination,,asphalt,,,,,,,False
live,osm-way-36939179-forward,36939179,forward,12,429550660,429550670,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939179-reverse,36939179,reverse,12,429550670,429550660,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939180-forward,36939180,forward,7,429550665,429550678,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939180-reverse,36939180,reverse,7,429550678,429550665,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939181-forward,36939181,forward,4,429550682,2407541413,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939181-reverse,36939181,reverse,4,2407541413,429550682,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939185-forward,36939185,forward,14,429550805,429550815,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939185-reverse,36939185,reverse,14,429550815,429550805,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939186-forward,36939186,forward,3,429550817,429550820,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939186-reverse,36939186,reverse,3,429550820,429550817,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939187-forward,36939187,forward,4,429550821,429550826,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939187-reverse,36939187,reverse,4,429550826,429550821,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939189-forward,36939189,forward,2,61785640,61785642,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,,,,yes,,,1,False
live,osm-way-36939189-reverse,36939189,reverse,2,61785642,61785640,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,,,,yes,,,1,False
live,osm-way-36939190-forward,36939190,forward,3,61785642,429550893,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939190-reverse,36939190,reverse,3,429550893,61785642,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-36939194-forward,36939194,forward,17,61785699,429551109,service,admissible,highway=service cyclable by default,normal,,,,,,,,,,,,,,True
live,osm-way-36939194-reverse,36939194,reverse,17,429551109,61785699,service,admissible,highway=service cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-36939195-forward,36939195,forward,51,429551120,6760222429,track,admissible,bicycle=yes,normal,,,,yes,,,,,grade2,,,,,False
live,osm-way-36939195-reverse,36939195,reverse,51,6760222429,429551120,track,admissible,bicycle=yes,normal,,,,yes,,,,,grade2,,,,,False
live,osm-way-39061881-forward,39061881,forward,14,61785706,466207881,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,good,,,,,,False
live,osm-way-39061881-reverse,39061881,reverse,14,466207881,61785706,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,good,,,,,,False
live,osm-way-39063955-forward,39063955,forward,15,466207881,3641466985,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,excellent,,,,,,False
live,osm-way-39063955-reverse,39063955,reverse,15,3641466985,466207881,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,asphalt,excellent,,,,,,False
live,osm-way-39182590-forward,39182590,forward,27,469359266,1921466102,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-39182590-reverse,39182590,reverse,27,1921466102,469359266,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-39184576-forward,39184576,forward,83,429550525,1502872882,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-39184576-reverse,39184576,reverse,83,1502872882,429550525,unclassified,admissible,highway=unclassified cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-40188687-forward,40188687,forward,5,484191038,484191042,service,admissible,highway=service cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-40188687-reverse,40188687,reverse,5,484191042,484191038,service,admissible,highway=service cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-40188688-forward,40188688,forward,5,254500245,340039361,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-40188688-reverse,40188688,reverse,5,340039361,254500245,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-40188689-forward,40188689,forward,31,332197825,332197832,service,admissible,highway=service cyclable by default,normal,,,,,,,paved,,,,,,,False
live,osm-way-40188689-reverse,40188689,reverse,31,332197832,332197825,service,admissible,highway=service cyclable by default,normal,,,,,,,paved,,,,,,,False
live,osm-way-47637754-forward,47637754,forward,2,251671095,2619567084,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-47637754-reverse,47637754,reverse,2,2619567084,251671095,residential,admissible,highway=residential cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-49158672-forward,49158672,forward,209,3645132936,623568237,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-49158672-reverse,49158672,reverse,209,623568237,3645132936,tertiary,admissible,highway=tertiary cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-49164994-forward,49164994,forward,64,623671178,623671583,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49164994-reverse,49164994,reverse,64,623671583,623671178,residential,admissible,highway=residential cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49164995-forward,49164995,forward,12,2031562323,623671267,footway,review,highway=footway carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-49164995-reverse,49164995,reverse,12,623671267,2031562323,footway,review,highway=footway carries no bicycle permission,normal,,,,,,,,,,,,,,False
live,osm-way-49164996-forward,49164996,forward,89,1976560068,1976285932,track,review,highway=track carries no bicycle permission,normal,,,,,,,grass,,grade3,,,,,False
live,osm-way-49164996-reverse,49164996,reverse,89,1976285932,1976560068,track,review,highway=track carries no bicycle permission,normal,,,,,,,grass,,grade3,,,,,False
live,osm-way-49164998-forward,49164998,forward,7,9391698284,623671310,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49164998-reverse,49164998,reverse,7,623671310,9391698284,service,admissible,highway=service cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49164999-forward,49164999,forward,23,623567884,623671547,unclassified,admissible,bicycle=yes,normal,no,,,yes,yes,,asphalt,,grade2,,,,,False
live,osm-way-49164999-reverse,49164999,reverse,23,623671547,623567884,unclassified,admissible,bicycle=yes,normal,no,,,yes,yes,,asphalt,,grade2,,,,,False
live,osm-way-49210502-forward,49210502,forward,7,624493727,251670339,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False
live,osm-way-49210502-reverse,49210502,reverse,7,251670339,624493727,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False
live,osm-way-49210503-forward,49210503,forward,16,251670339,1650919706,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,True
live,osm-way-49210503-reverse,49210503,reverse,16,1650919706,251670339,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
