position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
31,osm-28429105-0-forward,28429105,https://www.openstreetmap.org/way/28429105,0,forward,312353228,312353141,tertiary,tertiary,12.95,3819.37,3832.31,True,1808.24,1807.5,-0.74,0.74,0.0,-0.05725,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090197,6.069249,45.090099,6.069337,,,,,,asphalt,
32,osm-1054770672-0-forward,1054770672,https://www.openstreetmap.org/way/1054770672,0,forward,312353141,312353237,Chemin de la Chapelle,residential,13.82,3832.31,3846.13,True,1807.5,1807.07,-0.43,0.43,0.0,-0.03113,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090099,6.069337,45.090015,6.069208,,,,,,asphalt,
33,osm-28429107-0-forward,28429107,https://www.openstreetmap.org/way/28429107,0,forward,312353237,10709011021,Chemin de la Chapelle,residential,2.09,3846.13,3848.22,True,1807.07,1806.98,-0.09,0.09,0.0,-0.04311,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090015,6.069208,45.090005,6.069185,,,,,,asphalt,
34,osm-28429107-1-forward,28429107,https://www.openstreetmap.org/way/28429107,1,forward,10709011021,312353247,Chemin de la Chapelle,residential,95.8,3848.22,3944.02,True,1806.98,1801.01,-5.97,5.97,0.0,-0.06246,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090005,6.069185,45.089846,6.068016,,,,,,asphalt,
35,osm-28429107-2-forward,28429107,https://www.openstreetmap.org/way/28429107,2,forward,312353247,7066666421,Chemin de la Chapelle,residential,10.35,3944.02,3954.36,True,1801.01,1800.55,-0.46,0.46,0.0,-0.04451,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089846,6.068016,45.089865,6.067887,,,,,,asphalt,
36,osm-28429107-3-forward,28429107,https://www.openstreetmap.org/way/28429107,3,forward,7066666421,11773098473,Chemin de la Chapelle,residential,149.06,3954.36,4103.43,True,1800.55,1786.07,-14.48,14.48,0.0,-0.09767,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089865,6.067887,45.090227,6.066078,,,,,,asphalt,
37,osm-28429107-4-forward,28429107,https://www.openstreetmap.org/way/28429107,4,forward,11773098473,12863362628,Chemin de la Chapelle,residential,25.77,4103.43,4129.2,True,1786.07,1782.0,-4.07,4.07,0.0,-0.15998,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090227,6.066078,45.090283,6.065764,,,,,,asphalt,
38,osm-28429107-5-forward,28429107,https://www.openstreetmap.org/way/28429107,5,forward,12863362628,1342094390,Chemin de la Chapelle,residential,9.53,4129.2,4138.73,True,1782.0,1779.97,-2.03,2.03,0.0,-0.21796,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090283,6.065764,45.090272,6.065647,,,,,,asphalt,
39,osm-1112039601-0-forward,1112039601,https://www.openstreetmap.org/way/1112039601,0,forward,1342094390,1213608230,Place Joseph Paganon,residential,33.34,4138.73,4172.07,True,1779.97,1777.87,-2.1,2.13,0.03,-0.06319,asphalt_degraded,True,reference_vtc,highway=residential carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090272,6.065647,45.09048,6.065365,,,,,,,
40,osm-119437608-0-forward,119437608,https://www.openstreetmap.org/way/119437608,0,forward,1213608230,251671095,D 211,secondary,20.43,4172.07,4192.5,True,1777.87,1774.97,-2.9,2.9,0.0,-0.1434,asphalt_degraded,True,reference_vtc,highway=secondary carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.09048,6.065365,45.090427,6.065119,,,,,,,
